workload id,k1,k2,k3,k4,k5,k6,k7,k8,s1,s2,s3,s4,latency,driver.jvm.PS-MarkSweep.count.avg_increase,driver.jvm.non-heap.usage.avg,executor.deserializeTime.avg,worker_1.Disk_Read_KB/s.sdd,worker_1.Paging_and_Virtual_Memory.pgscan_kswapd_normal,worker_2.Disk_Read_KB/s.sdh,worker_2.Disk_Write_KB/s.sdi,worker_2.Paging_and_Virtual_Memory.pginodesteal,worker_2.Paging_and_Virtual_Memory.pgscan_kswapd_normal
190.0,16.0,2.0,4.0,8.0,48.0,200.0,1.0,0.6,10000.0,128.0,10.0,200.0,44.44125,0.0,-170836820.25531915,26221.425705365404,0.0,0.0,0.0,10.145201973481344,0.0,0.0
190.0,36.0,3.0,4.0,8.0,480.0,200.0,1.0,0.6,10000.0,128.0,10.0,200.0,34.15525,0.0,-170381024.38888893,19077.1875,0.0,0.0,0.0,13.806944444444444,0.0,0.0
200.0,16.0,2.0,4.0,8.0,48.0,15.0,1.0,0.6,10000.0,128.0,10.0,200.0,25.539,0.0,-227792781.3862434,186141.1742724868,0.0,0.0,1242.5669642857142,11.71875,0.0,0.0
200.0,16.0,2.0,4.0,8.0,48.0,200.0,1.0,0.6,10000.0,128.0,10.0,200.0,32.8835,0.0,-177148136.11209714,14793.284481483013,0.12045454545454545,0.0,0.0,12.445493086669554,0.0,0.0
200.0,64.0,8.0,4.0,8.0,48.0,200.0,1.0,0.6,10000.0,512.0,10.0,200.0,19.892083333333336,0.0,-184099633.51486424,14101.015353418232,0.0,0.0,1002.7258783796614,19.498878836171453,0.0,0.0
200.0,36.0,6.0,2.0,4.0,48.0,200.0,1.0,0.6,10000.0,128.0,10.0,200.0,29.951583333333332,0.0,-184589083.9898584,13315.589984311888,0.0,0.0,1027.4318617136937,16.189708537669713,0.0,0.0
200.0,36.0,6.0,2.0,4.0,24.0,200.0,1.0,0.6,10000.0,128.0,10.0,200.0,24.37758333333333,0.0,-184203203.20335332,14083.505418927849,0.0,0.0,0.0,15.420691634452504,0.0,0.0
218.0,64.0,8.0,4.0,8.0,48.0,200.0,1.0,0.6,10000.0,128.0,10.0,64.0,7.0035000000000025,0.0,-175112034.52777776,3633.760416666666,0.0,0.0,1041.2444444444445,55.34444444444443,0.0,0.0
218.0,64.0,8.0,4.0,8.0,48.0,200.0,1.0,0.6,10000.0,128.0,10.0,200.0,7.6,0.0,-210455814.86666667,50717.20416666667,0.0,0.0,0.0,48.719722222222224,0.0,0.0
218.0,32.0,8.0,2.0,4.0,48.0,200.0,1.0,0.6,10000.0,128.0,10.0,200.0,13.379,0.0,-170747626.45000002,2644.954296875,0.0,0.0,0.0,32.191250000000004,0.0,0.0
218.0,96.0,16.0,2.0,4.0,48.0,200.0,1.0,0.6,10000.0,128.0,10.0,200.0,9.32125,0.0,-170514981.66666666,2378.1039299242425,0.0,0.0,1127.153409090909,74.29469696969697,0.0,0.0
218.0,96.0,16.0,2.0,4.0,96.0,200.0,1.0,0.6,10000.0,128.0,10.0,200.0,12.41475,0.0,-170827831.75604394,2553.5679945054944,0.0,0.0,0.0,50.377115384615394,0.0,0.0
221.0,24.0,3.0,4.0,8.0,48.0,23.0,1.0,0.6,10000.0,128.0,10.0,200.0,34.8075,0.0,-230059461.28454468,131700.20516917293,0.0,0.0,0.0,11.016660401002508,0.0,0.0
221.0,24.0,3.0,4.0,8.0,48.0,200.0,1.0,0.6,10000.0,128.0,10.0,200.0,33.234,0.0,-213348866.08794624,118624.04807313994,0.0,0.0,830.6922814191196,10.26066618088677,0.0,0.0
221.0,24.0,4.0,2.0,4.0,12.0,200.0,1.0,0.6,10000.0,128.0,10.0,200.0,37.507,0.0,-165919056.41282052,2294.2425080128205,0.0,0.0,0.0,10.592772435897436,0.0,0.0
221.0,216.0,36.0,2.0,4.0,384.0,200.0,1.0,0.6,10000.0,128.0,10.0,200.0,8.41925,0.0,-165991242.8,2405.608035714286,0.3975,0.0,0.0,89.01749999999998,0.0,0.0
221.0,24.0,4.0,2.0,4.0,48.0,200.0,1.0,0.6,10000.0,128.0,10.0,200.0,38.71225,0.0,-165225593.51219508,2346.905487804879,0.0,0.0,0.0,10.815853658536588,0.0,0.0
238.0,72.0,6.0,4.0,8.0,48.0,200.0,1.0,0.6,10000.0,128.0,10.0,200.0,35.35125,0.0,-212536013.85348505,67255.01351351349,0.0,0.0,1015.6162162162162,11.736486486486484,0.0,0.0
238.0,216.0,24.0,3.0,6.0,48.0,200.0,1.0,0.6,10000.0,128.0,10.0,200.0,16.643,0.0,-204461639.73099416,44354.33211500975,0.0,0.0,1055.8524122807016,32.24736842105263,0.0,0.0
238.0,72.0,6.0,4.0,8.0,48.0,200.0,1.0,0.6,10000.0,64.0,10.0,200.0,35.43525,0.0,-168820395.62550607,3406.4628177013037,0.0,0.0,0.0,15.090449280251914,0.0,0.0
238.0,48.0,8.0,3.0,6.0,24.0,200.0,1.0,0.6,10000.0,128.0,10.0,200.0,29.98425,0.25,-199063398.92424244,30537.270389441284,0.0,0.0,188.05703125,14.94050662878788,0.0,0.0
238.0,216.0,24.0,3.0,6.0,48.0,200.0,1.0,0.6,10000.0,128.0,100.0,200.0,17.262500000000006,0.0,-169482231.2631579,2981.919590643275,0.0,0.0,969.7552631578948,30.51973684210527,0.0,0.0
241.0,36.0,3.0,4.0,8.0,48.0,200.0,1.0,0.6,10000.0,128.0,10.0,200.0,6.774,0.0,-212838210.72222224,94551.77083333331,0.0,0.0,4641.571874999999,34.51076388888889,0.0,0.0
241.0,72.0,6.0,4.0,8.0,48.0,200.0,1.0,0.6,10000.0,128.0,10.0,200.0,3.66075,0.0,-214185895.3333333,69882.2138888889,0.0,0.0,1070.7533333333333,70.35,0.0,0.0
241.0,24.0,2.0,4.0,8.0,48.0,200.0,1.0,0.6,5000.0,128.0,10.0,200.0,9.157,0.0,-167733121.03030303,6991.666666666666,1.4477272727272723,0.0,528.5295454545455,42.308522727272724,0.0,0.0
241.0,36.0,3.0,4.0,8.0,48.0,200.0,1.0,0.6,20000.0,128.0,10.0,200.0,6.5505,0.0,-168256192.52777776,5786.848379629631,0.496875,0.0,456.4402777777778,43.234375,0.0,0.0
241.0,24.0,2.0,4.0,8.0,48.0,200.0,1.0,0.6,10000.0,128.0,10.0,200.0,10.71925,0.0,-226790356.79487184,89724.57131410256,0.9192307692307692,0.0,917.8104166666666,24.55,0.0,0.0
255.0,36.0,3.0,4.0,8.0,48.0,200.0,1.0,0.6,10000.0,128.0,10.0,200.0,30.431,0.0,-215734559.57380253,110928.62821766047,0.0,0.0,884.3808651026393,13.252223851417401,0.0,0.0
